section,table_name,name,details
-1_SUMMARY,postgres,overview,"{""schema"": ""public"", ""database"": ""postgres"", ""enum_types"": [{""name"": ""route_plan_status"", ""values"": [""draft"", ""active"", ""inactive"", ""archived""]}, {""name"": ""route_waypoint_role"", ""values"": [""origin"", ""stopover"", ""destination""]}, {""name"": ""wallet_transaction_status"", ""values"": [""pending"", ""completed"", ""failed"", ""reversed""]}, {""name"": ""wallet_transaction_type"", ""values"": [""trip_earning"", ""trip_payment"", ""withdrawal"", ""withdrawal_refund"", ""top_up"", ""refund"", ""bonus"", ""penalty"", ""adjustment"", ""coupon_subsidy""]}, {""name"": ""withdrawal_method"", ""values"": [""bank_transfer"", ""vodafone_cash"", ""instapay"", ""orange_money""]}, {""name"": ""withdrawal_status"", ""values"": [""pending"", ""approved"", ""processing"", ""completed"", ""rejected"", ""cancelled""]}], ""extensions"": [{""name"": ""pg_cron"", ""version"": ""1.6.4""}, {""name"": ""pg_stat_statements"", ""version"": ""1.11""}, {""name"": ""pgcrypto"", ""version"": ""1.3""}, {""name"": ""plpgsql"", ""version"": ""1.0""}, {""name"": ""postgis"", ""version"": ""3.3.7""}, {""name"": ""supabase_vault"", ""version"": ""0.3.1""}, {""name"": ""uuid-ossp"", ""version"": ""1.1""}], ""pg_version"": ""17.6"", ""table_count"": 32, ""generated_at"": ""2026-05-18T02:44:12.220596+00:00"", ""total_db_size"": ""28 MB"", ""realtime_tables"": [""app_config"", ""driver_wallets"", ""drivers_profile"", ""messages"", ""notifications"", ""support_messages"", ""trip_offers"", ""trip_route_plans"", ""trip_route_waypoints"", ""trips"", ""user_presence"", ""user_wallets"", ""vehicle_types""], ""custom_functions"": [""_fn_increment_coupon_used_count"", ""_fn_recalculate_driver_rating"", ""_fn_recalculate_user_rating"", ""_fn_sync_pricing_from_vehicle_types"", ""_fn_update_total_trips_on_complete"", ""admin_assign_user_coupon"", ""admin_update_pricing"", ""admin_wallet_adjust"", ""admin_wallet_top_up"", ""apply_coupon_to_trip"", ""approve_withdrawal"", ""assign_driver_to_area"", ""award_daily_bonus"", ""block_user"", ""broadcast_trip_offers_by_area"", ""calculate_trip_price"", ""cancel_trip"", ""cancel_trip"", ""cleanup_orphan_trip_offers"", ""cleanup_stale_trips"", ""cleanup_stale_user_presence"", ""cleanup_stuck_trips"", ""create_driver_account"", ""demote_user_from_admin"", ""driver_accept_trip"", ""driver_complete_trip"", ""driver_reject_trip"", ""driver_start_trip"", ""driver_submit_offer"", ""expire_trip_offers"", ""fn_add_route_stopover"", ""fn_auto_deactivate_expired_coupons"", ""fn_auto_reverse_coupon_on_cancel"", ""fn_check_coupon_budget_alerts"", ""fn_coupon_usage_timeline"", ""fn_create_driver_wallet"", ""fn_create_route_plan_from_legacy"", ""fn_create_user_wallet"", ""fn_credit_driver_earnings_on_trip_complete"", ""fn_enforce_single_active_route_plan"", ""fn_log_coupon_status_change"", ""fn_remove_route_stopover"", ""fn_set_trip_service_area"", ""get_admin_dashboard_stats"", ""get_driver_avg_rating"", ""get_driver_earnings_detailed"", ""get_driver_earnings_summary"", ""get_my_bonus_progress"", ""get_nearby_drivers"", ""get_nearby_drivers_secure"", ""get_nearby_drivers_secure"", ""get_unread_count"", ""get_unread_message_count"", ""get_user_conversations"", ""handle_new_auth_user"", ""handle_new_user"", ""handle_trip_accepted"", ""is_admin_user"", ""log_admin_action"", ""matches_driver_corridor"", ""promote_user_to_admin"", ""reject_withdrawal"", ""remove_driver_from_area"", ""request_driver_revision"", ""request_driver_withdrawal"", ""resolve_complaint"", ""resolve_service_area"", ""reverse_coupon_on_cancel"", ""secure_broadcast_trip_offers"", ""set_driver_offline"", ""set_driver_online"", ""set_driver_target_route"", ""set_final_price_on_complete"", ""set_first_user_as_admin"", ""set_user_role"", ""soft_delete_orphan_messages"", ""sync_user_coupon_is_used"", ""unblock_user"", ""unverify_driver"", ""update_trip_status_timestamps"", ""update_updated_at_column"", ""upsert_driver_location"", ""use_coupon_atomic"", ""user_accept_offer"", ""validate_coupon"", ""validate_trip_price"", ""validate_trip_price_on_insert"", ""validate_trip_status_transition"", ""validate_wallet_transaction_ref"", ""verify_driver""], ""rls_coverage_pct"": 96.9, ""rls_enabled_count"": 31, ""most_written_tables"": [{""table"": ""user_presence"", ""writes"": 110407, ""deletes"": 178, ""inserts"": 184, ""updates"": 110045}, {""table"": ""spatial_ref_sys"", ""writes"": 8500, ""deletes"": 0, ""inserts"": 8500, ""updates"": 0}, {""table"": ""drivers_profile"", ""writes"": 1448, ""deletes"": 0, ""inserts"": 10, ""updates"": 1438}, {""table"": ""driver_locations"", ""writes"": 442, ""deletes"": 0, ""inserts"": 4, ""updates"": 438}, {""table"": ""trips"", ""writes"": 317, ""deletes"": 0, ""inserts"": 118, ""updates"": 199}, {""table"": ""trip_offers"", ""writes"": 174, ""deletes"": 0, ""inserts"": 79, ""updates"": 95}, {""table"": ""messages"", ""writes"": 135, ""deletes"": 0, ""inserts"": 69, ""updates"": 66}, {""table"": ""users"", ""writes"": 116, ""deletes"": 0, ""inserts"": 32, ""updates"": 84}, {""table"": ""trip_route_waypoints"", ""writes"": 31, ""deletes"": 9, ""inserts"": 17, ""updates"": 5}, {""table"": ""vehicle_types"", ""writes"": 24, ""deletes"": 0, ""inserts"": 9, ""updates"": 15}, {""table"": ""pricing_config"", ""writes"": 16, ""deletes"": 0, ""inserts"": 7, ""updates"": 9}, {""table"": ""bonus_rules"", ""writes"": 12, ""deletes"": 0, ""inserts"": 12, ""updates"": 0}, {""table"": ""ratings"", ""writes"": 9, ""deletes"": 0, ""inserts"": 9, ""updates"": 0}, {""table"": ""app_config"", ""writes"": 8, ""deletes"": 0, ""inserts"": 8, ""updates"": 0}, {""table"": ""driver_wallets"", ""writes"": 5, ""deletes"": 0, ""inserts"": 3, ""updates"": 2}, {""table"": ""user_ratings"", ""writes"": 5, ""deletes"": 0, ""inserts"": 5, ""updates"": 0}, {""table"": ""trip_route_plans"", ""writes"": 4, ""deletes"": 0, ""inserts"": 4, ""updates"": 0}, {""table"": ""user_wallets"", ""writes"": 4, ""deletes"": 0, ""inserts"": 4, ""updates"": 0}, {""table"": ""wallet_transactions"", ""writes"": 2, ""deletes"": 0, ""inserts"": 2, ""updates"": 0}, {""table"": ""support_messages"", ""writes"": 1, ""deletes"": 0, ""inserts"": 1, ""updates"": 0}, {""table"": ""coupons"", ""writes"": 1, ""deletes"": 0, ""inserts"": 1, ""updates"": 0}], ""custom_function_count"": 90, ""tables_sorted_by_size"": [{""table"": ""spatial_ref_sys"", ""live_rows"": 8500, ""total_size"": ""7144 kB""}, {""table"": ""trips"", ""live_rows"": 93, ""total_size"": ""320 kB""}, {""table"": ""trip_offers"", ""live_rows"": 79, ""total_size"": ""168 kB""}, {""table"": ""messages"", ""live_rows"": 69, ""total_size"": ""144 kB""}, {""table"": ""drivers_profile"", ""live_rows"": 3, ""total_size"": ""128 kB""}, {""table"": ""driver_locations"", ""live_rows"": 2, ""total_size"": ""104 kB""}, {""table"": ""trip_route_waypoints"", ""live_rows"": 8, ""total_size"": ""96 kB""}, {""table"": ""ratings"", ""live_rows"": 9, ""total_size"": ""80 kB""}, {""table"": ""trip_route_plans"", ""live_rows"": 4, ""total_size"": ""80 kB""}, {""table"": ""coupons"", ""live_rows"": 1, ""total_size"": ""80 kB""}, {""table"": ""wallet_transactions"", ""live_rows"": 2, ""total_size"": ""80 kB""}, {""table"": ""pricing_config"", ""live_rows"": 4, ""total_size"": ""64 kB""}, {""table"": ""user_presence"", ""live_rows"": 0, ""total_size"": ""56 kB""}, {""table"": ""support_messages"", ""live_rows"": 1, ""total_size"": ""48 kB""}, {""table"": ""users"", ""live_rows"": 7, ""total_size"": ""48 kB""}, {""table"": ""user_ratings"", ""live_rows"": 5, ""total_size"": ""48 kB""}, {""table"": ""notifications"", ""live_rows"": 0, ""total_size"": ""40 kB""}, {""table"": ""service_areas"", ""live_rows"": 0, ""total_size"": ""40 kB""}, {""table"": ""vehicle_types"", ""live_rows"": 4, ""total_size"": ""40 kB""}, {""table"": ""user_coupons"", ""live_rows"": 0, ""total_size"": ""40 kB""}, {""table"": ""coupon_audit_log"", ""live_rows"": 0, ""total_size"": ""40 kB""}, {""table"": ""withdrawal_requests"", ""live_rows"": 0, ""total_size"": ""40 kB""}, {""table"": ""complaints"", ""live_rows"": 0, ""total_size"": ""40 kB""}, {""table"": ""admin_logs"", ""live_rows"": 0, ""total_size"": ""32 kB""}, {""table"": ""driver_bonus_ledger"", ""live_rows"": 0, ""total_size"": ""32 kB""}, {""table"": ""app_config"", ""live_rows"": 8, ""total_size"": ""32 kB""}, {""table"": ""bonus_rules"", ""live_rows"": 12, ""total_size"": ""32 kB""}, {""table"": ""driver_service_areas"", ""live_rows"": 0, ""total_size"": ""32 kB""}, {""table"": ""driver_revision_requests"", ""live_rows"": 0, ""total_size"": ""24 kB""}, {""table"": ""user_wallets"", ""live_rows"": 4, ""total_size"": ""24 kB""}, {""table"": ""coupon_usages"", ""live_rows"": 0, ""total_size"": ""24 kB""}, {""table"": ""driver_wallets"", ""live_rows"": 3, ""total_size"": ""24 kB""}], ""tables_without_comment"": [""bonus_rules"", ""complaints"", ""coupon_usages"", ""coupons"", ""driver_bonus_ledger"", ""driver_locations"", ""driver_revision_requests"", ""driver_service_areas"", ""driver_wallets"", ""ratings"", ""service_areas"", ""spatial_ref_sys"", ""support_messages"", ""trip_offers"", ""user_coupons"", ""user_ratings"", ""user_wallets"", ""users"", ""wallet_transactions"", ""withdrawal_requests""], ""hottest_tables_by_cache_hits"": [{""table"": ""user_presence"", ""idx_hits"": 238338, ""heap_hits"": 664059}, {""table"": ""drivers_profile"", ""idx_hits"": 33244, ""heap_hits"": 137403}, {""table"": ""trips"", ""idx_hits"": 82134, ""heap_hits"": 22871}, {""table"": ""spatial_ref_sys"", ""idx_hits"": 33543, ""heap_hits"": 23189}, {""table"": ""users"", ""idx_hits"": 11061, ""heap_hits"": 29277}]}"
00_EXTENSION,pg_cron,configuration,"{""owner"": ""supabase_admin"", ""schema"": ""pg_catalog"", ""version"": ""1.6.4"", ""description"": ""Job scheduler for PostgreSQL"", ""relocatable"": false}"
00_EXTENSION,pg_stat_statements,configuration,"{""owner"": ""postgres"", ""schema"": ""extensions"", ""version"": ""1.11"", ""description"": ""track planning and execution statistics of all SQL statements executed"", ""relocatable"": true}"
00_EXTENSION,pgcrypto,configuration,"{""owner"": ""postgres"", ""schema"": ""extensions"", ""version"": ""1.3"", ""description"": ""cryptographic functions"", ""relocatable"": true}"
00_EXTENSION,plpgsql,configuration,"{""owner"": ""supabase_admin"", ""schema"": ""pg_catalog"", ""version"": ""1.0"", ""description"": ""PL/pgSQL procedural language"", ""relocatable"": false}"
00_EXTENSION,postgis,configuration,"{""owner"": ""supabase_admin"", ""schema"": ""public"", ""version"": ""3.3.7"", ""description"": ""PostGIS geometry and geography spatial types and functions"", ""relocatable"": false}"
00_EXTENSION,supabase_vault,configuration,"{""owner"": ""supabase_admin"", ""schema"": ""vault"", ""version"": ""0.3.1"", ""description"": ""Supabase Vault Extension"", ""relocatable"": false}"
00_EXTENSION,uuid-ossp,configuration,"{""owner"": ""postgres"", ""schema"": ""extensions"", ""version"": ""1.1"", ""description"": ""generate universally unique identifiers (UUIDs)"", ""relocatable"": true}"
01_ENUM,route_plan_status,definition,"{""oid"": ""26040"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""draft"", ""active"", ""inactive"", ""archived""], ""value_count"": 4}"
01_ENUM,route_waypoint_role,definition,"{""oid"": ""26050"", ""owner"": ""postgres"", ""schema"": ""public"", ""values"": [""origin"", ""stopover"", ""destination""], ""value_count"": 3}"
